radius,ncity,ndp,nap,ndpdc_p,ndpac_p,ndc_p,nac_p,pp,psc,pdc,pac,alpha,beta,gamma,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.2,15,8,2,1,0.2,0.8,0.2,0.6,0.6,0.6,0.95,8,8,0,8,2,6,1,-1.587794866,TRUE,31843,854.4611796
0.2,15,8,6,1,0.2,0.2,0.2,0.6,0.95,0.95,0.95,8,-8,8,8,2,2,1,-2.026577019,FALSE,228,1801.617226
0.4,9,4,2,0.2,1,0.8,0.8,0.95,0.95,0.6,0.6,1,-8,8,1,4,1,3,-1.11146165,TRUE,20277,17.885705
0.2,9,8,2,0.2,1,0.8,0.2,0.95,0.6,0.95,0.6,8,-8,8,2,8,2,2,-1.05212562,TRUE,9413,56.19215344
0.4,9,8,2,1,0.2,0.8,0.2,0.95,0.95,0.95,0.6,8,8,0,8,2,6,1,-0.001281662,TRUE,11,0.119937991
0.2,9,8,2,1,1,0.2,0.8,0.6,0.95,0.95,0.6,8,-8,0,8,8,2,6,-1.018859142,FALSE,15146,1800.020836
0.4,15,8,2,1,0.2,0.8,0.2,0.6,0.6,0.95,0.6,1,-8,8,8,2,6,1,-0.344322814,TRUE,5355,161.2832525
0.4,9,8,2,0.2,0.2,0.2,0.8,0.6,0.6,0.95,0.6,8,8,8,2,2,1,2,-0.211071074,TRUE,2371,1.023032171
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.305268686,FALSE,16905,1800.034007
0.2,9,4,2,1,0.2,0.8,0.8,0.95,0.6,0.6,0.6,1,8,0,4,1,3,1,-0.585791511,TRUE,5168,3.241637645
0.2,15,8,6,1,1,0.8,0.8,0.95,0.95,0.6,0.6,1,-8,0,8,8,6,6,-2.833313724,FALSE,20,1836.640417
0.4,15,8,2,0.2,1,0.8,0.2,0.6,0.95,0.6,0.95,8,-8,8,2,8,2,2,-1.388135567,TRUE,14595,233.381518
0.4,9,4,2,1,0.2,0.8,0.8,0.95,0.6,0.95,0.95,8,-8,8,4,1,3,1,-0.055136398,TRUE,740,0.461605318
0.2,9,8,2,0.2,0.2,0.2,0.8,0.6,0.6,0.6,0.95,1,-8,0,2,2,1,2,-0.617588555,TRUE,8256,3.589116693
0.4,15,4,2,0.2,1,0.8,0.8,0.6,0.6,0.6,0.6,8,8,0,1,4,1,3,-1.635609931,TRUE,30514,63.5132059
0.2,9,4,2,0.2,1,0.8,0.8,0.95,0.95,0.95,0.95,8,8,0,1,4,1,3,-1.281363478,TRUE,21468,18.6211875
0.2,15,4,6,1,0.2,0.2,0.8,0.6,0.6,0.95,0.6,8,8,0,4,1,1,1,-3.073597131,FALSE,3884,1800.282743
0.2,9,4,2,0.2,0.2,0.2,0.2,0.6,0.95,0.6,0.6,1,8,8,1,1,1,1,-0.912639132,TRUE,11583,2.503484529
0.4,9,8,2,0.2,1,0.8,0.2,0.95,0.6,0.6,0.95,1,8,0,2,8,2,2,-0.537806602,TRUE,3117,20.78532019
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.309114891,FALSE,17297,1800.060162
0.2,9,4,6,1,1,0.8,0.2,0.6,0.95,0.6,0.95,8,-8,0,4,4,3,1,-1.611674152,TRUE,32236,279.7258194
