size,pp,psc,pdc,alpha,beta,gamma,radius,pac,ncity,ndp,nap,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
9,0.95,0.55,0.55,4.0,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,81.738241384
15,0.95,0.95,0.55,0.5,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.3200725324042377,false,27,3679.539148449
9,0.95,0.55,0.55,0.5,4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,80.074691463
15,0.55,0.95,0.95,4.0,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.198223789056369,false,27,3703.452660702
15,0.55,0.55,0.95,4.0,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.198223789056369,false,27,3694.644985748
9,0.95,0.55,0.55,4.0,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,85.55743427
15,0.55,0.55,0.55,0.5,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.3630781548263453,false,27,3650.469480866
12,0.55,0.75,0.75,2.25,0.0,2.0,0.3,0.0,12,6,4,6,6,4,4,-1.800202334233681,false,4130,3600.275611748
9,0.55,0.55,0.95,4.0,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474581518725264,true,18952,89.138632308
9,0.95,0.55,0.95,0.5,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,86.203570785
15,0.55,0.55,0.55,4.0,-4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.198223789056369,false,27,3688.834037081
9,0.95,0.95,0.95,4.0,-4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,84.961801355
9,0.55,0.55,0.95,0.5,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9474611207114852,true,18952,86.864629088
15,0.95,0.95,0.55,0.5,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.3200725324042373,false,27,3674.874165304
9,0.55,0.55,0.55,4.0,4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.947458232005357,true,18952,85.560352037
15,0.95,0.55,0.95,4.0,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672477,false,27,3675.317064399
9,0.55,0.55,0.55,4.0,4.0,0.0,0.3,0.0,9,4,2,4,4,2,2,-0.947458232005357,true,18952,78.43287638
15,0.95,0.95,0.55,4.0,4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672477,false,27,3684.123911688
9,0.95,0.95,0.55,4.0,4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.911368107053806,true,18230,79.671936601
15,0.95,0.95,0.55,4.0,4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.1103091525672486,false,27,3695.457746164
15,0.55,0.95,0.95,4.0,-4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.198223789056369,false,27,3699.296236873
15,0.55,0.95,0.95,0.5,4.0,0.0,0.3,0.0,15,8,6,8,8,6,6,-3.363078154826346,false,27,3671.780726563
9,0.95,0.55,0.55,0.5,-4.0,4.0,0.3,0.0,9,4,2,4,4,2,2,-0.9113714953030871,true,18230,86.257363696
15,0.55,0.95,0.95,0.5,-4.0,4.0,0.3,0.0,15,8,6,8,8,6,6,-3.3630781548263453,false,27,3682.202305886
